C momentum transfer x nm^-1 and FMOL=FIAM*sqrt(s(x))/squart(MW)	molecular weight (next line)
18.2
100	
0.017	2.9752
0.0219	2.5652
0.0267	2.0428
0.0316	1.6426
0.0364	1.2594
0.0413	1.0109
0.0462	0.8184
0.051	0.7351
0.0559	0.7188
0.0607	0.7417
0.0656	0.7318
0.0704	0.7007
0.0753	0.6788
0.0802	0.6673
0.085	0.6343
0.0899	0.6287
0.0947	0.6237
0.0996	0.6244
0.1045	0.6256
0.1093	0.6147
0.1142	0.6088
0.119	0.6158
0.1239	0.603
0.1287	0.6055
0.1336	0.597
0.1385	0.6092
0.1433	0.6064
0.1482	0.6035
0.153	0.6027
0.1579	0.6023
0.1628	0.5993
0.1676	0.6011
0.1725	0.6018
0.1773	0.5922
0.1822	0.5977
0.1871	0.5939
0.1919	0.6005
0.1968	0.5882
0.2016	0.606
0.2065	0.599
0.2113	0.5967
0.2162	0.5899
0.2211	0.5956
0.2259	0.5875
0.2308	0.5993
0.2356	0.6072
0.2405	0.5856
0.2454	0.5955
0.2502	0.5808
0.2551	0.5949
0.2599	0.5937
0.2648	0.596
0.2696	0.5962
0.2745	0.5967
0.2794	0.5968
0.2842	0.5898
0.2891	0.5958
0.2939	0.588
0.2988	0.5878
0.3037	0.5986
0.3085	0.5875
0.3134	0.5919
0.3182	0.5961
0.3231	0.5892
0.3279	0.5875
0.3328	0.5842
0.3377	0.592
0.3425	0.5884
0.3474	0.5972
0.3522	0.5797
0.3571	0.5824
0.362	0.5858
0.3668	0.5771
0.3717	0.5989
0.3765	0.5938
0.3814	0.592
0.3863	0.5898
0.3911	0.5819
0.396	0.5925
0.4008	0.5845
0.4057	0.5947
0.4105	0.5847
0.4154	0.589
0.4203	0.5952
0.4251	0.5861
0.43	0.5813
0.4348	0.5927
0.4397	0.5939
0.4446	0.5955
0.4494	0.5838
0.4543	0.5912
0.4591	0.6002
0.464	0.5845
0.4688	0.5863
0.4737	0.5911
0.4786	0.5861
0.4834	0.5751
0.4883	0.5969
0.4931	0.5955
0.498	0.5854
