C momentum transfer x nm^-1 and FMOL=FIAM*sqrt(s(x))/squart(MW)	with Mw molecular weight or only s(x).
100.12
100
0	9.22E-01
0.1	9.22E-01
0.2	9.37E-01
0.3	1.02E+00
0.4	1.19E+00
0.5	1.49E+00
0.6	1.86E+00
0.7	2.34E+00
0.8	2.42E+00
0.9	2.17E+00
1	1.90E+00
1.1	1.63E+00
1.2	1.43E+00
1.3	1.29E+00
1.4	1.26E+00
1.5	1.31E+00
1.6	1.39E+00
1.7	1.41E+00
1.8	1.35E+00
1.9	1.26E+00
2	1.15E+00
2.2	1.10E+00
2.4	1.08E+00
2.5	9.86E-01
2.6	8.87E-01
2.8	7.84E-01
3	7.32E-01
3.2	6.83E-01
3.4	6.39E-01
3.5	6.29E-01
3.6	6.13E-01
3.8	6.04E-01
4	5.96E-01
4.2	5.98E-01
4.4	6.19E-01
4.5	6.14E-01
4.6	6.02E-01
4.8	5.49E-01
5	5.06E-01
5.5	4.65E-01
6	4.55E-01
6.5	4.71E-01
7	4.49E-01
8	4.12E-01
9	3.53E-01
10	3.16E-01
11	2.91E-01
12	2.67E-01
13	2.45E-01
14	2.23E-01
15	2.04E-01
16	1.85E-01
17	1.69E-01
18	1.53E-01
19	1.39E-01
20	1.27E-01
22	1.05E-01
24	8.67E-02
25	7.90E-02
26	7.21E-02
28	6.02E-02
30	5.05E-02
33	3.91E-02
35	3.31E-02
36	3.06E-02
39	2.42E-02
40	2.24E-02
42	1.93E-02
46	1.45E-02
50	1.11E-02
54	8.55E-03
55	8.03E-03
58	6.70E-03
60	5.96E-03
62	5.31E-03
66	4.26E-03
70	3.45E-03
74	2.82E-03
80	2.12E-03
90	1.37E-03
100	9.23E-04
110	6.42E-04
120	4.60E-04
140	2.54E-04
160	1.51E-04
180	9.55E-05
200	6.32E-05
220	4.35E-05
250	2.63E-05
280	1.68E-05
310	1.13E-05
350	6.98E-06
400	4.12E-06
450	2.59E-06
500	1.71E-06
700	4.56E-07
1000	1.13E-07
10000	2.13E-11
10000000	1.13E-20
10000000000	1.15E-29
